IA_Name,Common_Name,CAS,CSID,Compound_Class,Log_P,Vapor_Pressure,Vapor_Pressure_At,FooDB_Odors,FooDB_Odor_Family
"2-Pentenal, (E)-",(E)-2-Pentenal,1576-87-0,4516892,NA,1.04,11.5,25°C,"strawberry, fruit, tomato, pungent, green, fruity, apple, orange","fruity, vegetable, green, citrus"
Pyrrole,NA,109-97-7,NA,NA,NA,NA,NA,"sweet, warm, nutty, ethereal","balsamic, nutty"
1-Hydroxy-2-butanone,2-Oxobutanol,5077-67-8,454721,Alpha-hydroxy ketones,NA,0.9,25°C,"sweet, coffee, musty, grain, malt, butterscotch","balsamic, earthy"
"Pentanal, 2-methyl-",2-Methylpentanal,123-15-9,28985,NA,1.78,16.9,25°C,"ethereal, fruity, green","fruity, green"
Toluene,Toluene,108-88-3,1108,Toluenes,2.68,27.7,25°C,"paint, sweet",balsamic
Pentanol,pentanol,71-41-0,6040,Primary alcohols,1.41,2.8,25°C,"balsamic, sweet, vanilla, fusel, oil, balsam",balsamic
new 8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentenol<2Z->,2-Penten-1-ol,1576-95-0,14569,NA,1.22,2.4,25°C,"green, plastic, rubber, ethereal, fruity","green, chemical, fruity"
"2-Buten-1-ol, 2-methyl-",2-Methyl-2-buten-1-ol,4675-87-0,21105961,NA,1.24,2.4,25°C,"green, oily","green, fatty"
Tiglic aldehyde,2-Methyl-2-butenal,497-03-0,9912,Enals,1.07,17.1,25°C,"strong, green, fruit",green
Buten-1-ol<3-methyl-2->,Prenol,556-82-1,10700,NA,1.24,2.4,25°C,"herb, fruity, green, lavender","fruity, green, floral"
"2,4-Pentanedione","2,4-Pentandione",123-54-6,29001,Beta-diketones,0.34,6.7,25°C,NA,NA
"2-Pentanol, 3-ethyl-2-methyl-",3-Ethyl-2-methyl-2-pentanol,19780-63-3,453326,NA,2.45,1.0,25°C,NA,NA
134,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Butenal, 3-methyl-",3-Methyl-2-butenal,107-86-8,54980,Enals,1.07,8.3,25°C,"sweet, fruity, pungent, brown, nutty, almond, cherry","balsamic, fruity, nutty"
Butanoic acid,Butanoic acid,107-92-6,259,Straight chain fatty acids,0.78,1.4,25°C,"rancid, cheese, sweat, sharp, acetic, butter, fruit",fatty
"3-Penten-2-one, 4-methyl-",Mesityl oxide,141-79-7,8526,Enones,1.12,8.8,25°C,"sweet, chemical, pungent, earthy, vegetable, acrylic","balsamic, earthy, vegetable"
"2-Pentene, 4,4-dimethyl-,","4,4-Dimethyl-2-pentene",690-08-4,12198,NA,3.59,109.8,25°C,NA,NA
3-Hexen-2-one,3-Hexen-2-one,763-93-9,4519228,NA,1.09,6.3,25°C,NA,NA
Hexanal,Hexanal,66-25-1,5949,Medium-chain aldehydes,1.97,10.9,25°C,"grass, tallow, fat, fresh, green, fatty, aldehydic, leafy, fruity, sweaty","green, fatty, fruity"
103,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Furaldehyde,3-Furaldehyde,498-60-2,9924,NA,0.51,4.9,25°C,NA,NA
"1H-Pyrrole, 1-ethyl-",1-Ethyl-1H-pyrrol,617-92-5,161022,NA,1.74,19.8,25°C,NA,NA
135,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclohexane, 1,2,4-trimethyl-","1,2,4-TRIMETHYLCYCLOHEXANE",2234-75-5,82638,NA,4.86,6.7,25°C,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Furfural,Furfural,98-01-1,13863629,Aryl-aldehydes,0.73,2.2,25°C,"bread, almond, sweet, woody, fragrant, baked","nutty, balsamic, woody"
Dimethyl Sulfoxide,Dimethyl sulfoxide,67-68-5,659,Sulfoxides,NA,0.8,25°C,"garlic, fatty, oily, cheesy, mushroom, bitter","fatty, earthy"
136,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentanone<4-hydroxy-4-methyl-2->,Diacetone alcohol,123-42-2,13838151,Beta-hydroxy ketones,NA,0.5,25°C,NA,NA
"1,3-Cyclopentadiene, 5,5-dimethyl-1-ethyl-",NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butanoic acid<2-methyl->,2-Methylbutyric acid,116-53-0,8012,Methyl-branched fatty acids,1.13,0.6,25°C,"cheese, sweat, sour, strawberry, pungent, acid, roquefort cheese","fatty, fruity"
Isovaleric acid,3-Methylbutanoic acid,503-74-2,10001,Methyl-branched fatty acids,1.13,0.6,25°C,"sweat, acid, rancid, animal, sour, stinky, feet, sweaty, cheese, tropical","animal, fatty"
Hexenal<2E->,Leaf aldehyde,6728-26-3,4444608,Medium-chain aldehydes,1.58,4.6,25°C,"apple, green, banana, aldehydic, fatty, cheesy","fruity, green, fatty"
Hexenol<3E->,(2Z)-2-Hexen-1-ol,928-97-2,4482013,NA,1.75,0.9,25°C,"moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty","green, earthy, fatty"
Hexenol<3E->,(2Z)-2-Hexen-1-ol,928-97-2,4482013,NA,1.75,0.9,25°C,"moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty","green, earthy, fatty"
Hexenol<3Z->,(2Z)-2-Hexen-1-ol,928-97-2,4482013,NA,1.75,0.9,25°C,"moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty","green, earthy, fatty"
Hexenol<3Z->,(2Z)-2-Hexen-1-ol,928-97-2,4482013,NA,1.75,0.9,25°C,"moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty, moss, fresh, intensely, green, bitter, earthy, fatty","green, earthy, fatty"
Ethylbenzene,Ethylbenzene,100-41-4,7219,NA,3.21,9.2,25°C,NA,NA
Ethylbenzene,Ethylbenzene,100-41-4,7219,NA,3.21,9.2,25°C,NA,NA
2-Furanmethanol,Furfuranol,98-00-0,7083,Heteroaromatic compounds,0.2,1.0,25°C,"burnt, alcoholic, chemical, musty, sweet, caramel, bread, coffee, bitter","earthy, balsamic"
17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclohexanol,Cyclohexanol,108-93-0,7678,NA,1.34,0.9,25°C,"camphor, menthol, phenol",NA
new 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-xylene,Ethylbenzene,100-41-4,7219,NA,3.21,9.2,25°C,NA,NA
m-xylene,Ethylbenzene,100-41-4,7219,NA,3.21,9.2,25°C,NA,NA
p-Xylene,p-Xylene,106-42-3,7521,NA,3.14,7.9,25°C,NA,NA
"Cyclohexene, 1-methoxy-",1-Methoxycyclohexene,931-57-7,63449,NA,2.15,2.5,25°C,"herb, spice",NA
Hexenol<2Z->,(2Z)-2-Hexen-1-ol,928-94-9,4482013,Fatty alcohols,1.75,0.9,25°C,"leaf, green, wine, fruit, alcohol, pepper, leafy, fruity","green, chemical, pepper, fruity"
Hexenol<2E->,(E)-2-HEXENOL,928-95-0,4476685,NA,1.75,0.9,25°C,"green, leaf, walnut, fresh, leafy, fruity, unripe banana","green, nutty, fruity"
Hexanol<N->,hexanol,111-27-3,7812,Fatty alcohols,1.94,0.9,25°C,"resin, flower, green, ethereal, fusel, oil, fruity, alcoholic, sweet","green, fruity, balsamic"
"2-Butenal, 2-ethenyl",2-Vinyl-2-butenal,20521-42-0,4938827,NA,1.09,4.3,25°C,NA,NA
Nonane<N->,Nonane,111-84-2,7849,NA,5.54,4.6,25°C,"alkane, gasoline",NA
3-Heptanone,3-Heptanone,106-35-4,7514,Ketones,1.97,4.2,25°C,"powerful, green, fatty, fruity","green, fatty, fruity"
"1,5-Heptadiene, 2,6-dimethyl-","2,6-Dimethyl-1,5-heptadiene",6709-39-3,73261,NA,4.43,7.4,25°C,NA,NA
Heptanone<2->,2-Heptanone,110-43-0,7760,Ketones,1.97,4.7,25°C,"soap, cinnamon, fruity, spicy, sweet, herbal, coconut, woody","balsamic, fruity, spicy, woody"
137,NA,NA,NA,NA,NA,NA,NA,NA,NA
o-Xylene,o-Xylene,95-47-6,6967,NA,3.14,6.0,25°C,geranium,floral
Styrene,Styrene,100-42-5,7220,Styrenes,2.7,6.2,25°C,"balsamic, gasoline, sweet, balsam, floral, plastic","balsamic, floral, chemical"
Cyclohexanone,Cyclohexanone,108-94-1,7679,Cyclohexanones,0.76,3.0,25°C,"minty, acetone",minty
Heptanol<4->,4-Heptanol,589-55-9,11029,NA,2.29,0.8,25°C,NA,NA
Heptanal,Heptanal,111-71-7,7838,Medium-chain aldehydes,2.5,3.9,25°C,"fat, citrus, rancid, fresh, aldehydic, fatty, green, herbal, wine-lee, ozone","citrus, fatty, green"
"Ethanol, 2-butoxy-",2-Butoxyethanol,111-76-2,13836399,Dialkyl ethers,0.8,0.6,25°C,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Cyclohexen-1-one,cyclohexenone,930-68-7,13005,NA,0.45,1.8,25°C,"pesticide, roasted, savory, green",green
Acetylfuran<2->,2-Acetylfuran,1192-62-7,13849,Aryl alkyl ketones,0.52,0.8,25°C,"balsamic, potato, beef, peanut, tobacco, sweet, balsam, almond, cocoa, caramel, coffee","vegetable, meaty, nutty, tobacco, balsamic"
Hydroxybutanoic acid lactone<4->,butyrolactone,96-48-0,7029,Gamma butyrolactones,NA,0.3,25°C,"caramel, sweet, creamy, oily, fatty","balsamic, fatty"
2(5H)-Furanone,2(5H)-Furanone,497-23-4,9917,Butenolides,NA,0.3,25°C,buttery,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Cyclohexen-1-ol,2-cyclohexenol,822-67-3,12643,NA,0.98,0.8,25°C,NA,NA
Cumene,Cumene,98-82-8,7128,Cumenes,3.56,4.5,25°C,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA
new 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinene<alpha->,(+)-alpha-Pinene,80-56-8,74205,NA,4.37,3.5,25°C,"pine, turpentine, fresh, camphor, sweet, earthy, woody","balsamic, earthy, woody"
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dihydro-3-(2H)-thiophenone,3-Thiophanone,1003-04-9,55193,NA,NA,1.2,25°C,"butter, garlic, meaty, green, vegetable, clam, buttery","fatty, meaty, green, vegetable"
Camphene,(+)-Camphene,79-92-5,83259,NA,4.37,3.4,25°C,"camphor, woody, herbal, fir needle",woody
Heptan-2-ol<6-methyl-,2-Methylheptan-6-ol,4730-22-7,87095,NA,2.63,0.3,25°C,NA,NA
"Benzene, 1-ethyl-4-methyl-",4-Ethyltoluene,622-96-8,11660,NA,3.67,2.9,25°C,NA,NA
new 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benzaldehyde,Benzaldehyde,100-52-7,235,NA,1.64,1.0,25°C,"almond, burnt sugar, cherry, strong, sharp, sweet, bitter","nutty, fruity, balsamic"
80,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzene, 1-ethyl-3-methyl-",3-ethyltoluene,620-14-4,11603,NA,3.67,3.0,25°C,NA,NA
Furfural<5-methyl->,5-Methyl-2-furaldehyde,620-02-0,11600,NA,1.19,0.6,25°C,"almond, caramel, burnt sugar, spice, maple","nutty, balsamic, woody"
45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-","(6R)-2,2,6-Trimethyl-6-vinyltetrahydro-2H-pyran",7392-19-0,4936142,Oxanes,3.13,1.9,25°C,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octen-3-one<1->,1-Octen-3-one,4312-99-6,55282,Enones,2.16,1.1,25°C,"mushroom, metal, herbal, earthy, musty, dirty",earthy
107,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octen-3-ol<1->,(±)-1-Octen-3-ol,3391-86-4,17778,NA,2.64,0.5,25°C,"mushroom, fishy, earthy, green, oily, fungal, raw, chicken","earthy, fishy, green, fatty"
"2,3-Octanedione","2,3-Octanedione",585-25-1,10965,NA,0.79,1.3,25°C,"dill, cooked, broccoli, buttery",NA
104,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,6-Dimethyl-2-trans-6-octadiene","2,6-Dimethyl-2,6-octadiene",2609-23-6,121273,NA,4.95,2.3,25°C,NA,NA
"Cineole<dehydro-1,8->","Dehydro-1,8-cineole",66113-06-2,456244,NA,2.55,1.2,25°C,NA,NA
Hepten-2-one<6-methyl-5->,6-Methyl-5-hepten-2-one,110-93-0,9478,NA,2.09,1.3,25°C,"pepper, mushroom, rubber, citrus, green, musty, lemongrass, apple, bitter","pepper, earthy, citrus, green, fruity"
Phenol,Phenol,108-95-2,971,Phenols and derivatives,1.48,0.6,25°C,"phenol, phenolic, plastic, rubber",chemical
Myrcene,beta-Myrcene,123-35-3,28993,Acyclic monoterpenoids,4.58,2.3,25°C,"balsamic, must, spice, peppery, terpene, spicy, balsam, plastic","spicy, balsamic, chemical"
Hexanoic acid,1-Hexanoic acid,142-62-1,8552,Medium-chain fatty acids,1.84,0.2,25°C,"sweat, cheese, sour, fatty",fatty
Linalool oxide<dehydroxy-trans->,"(2S,5S)-5-Isopropenyl-2-methyl-2-vinyltetrahydrofuran",54750-70-8,4934590,NA,2.77,1.6,25°C,NA,NA
Mesitylene,Mesitylene,108-67-8,7659,NA,3.6,2.3,25°C,NA,NA
"Benzene, 1-ethyl-2-methyl-",2-Ethyltoluene,611-14-3,11409,NA,3.67,2.6,25°C,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cis-2,6-Dimethyl-2,6-octadiene","cis-2,6-Dimethyl-2,6-octadiene",2492-22-0,4509351,NA,4.95,2.3,25°C,NA,NA
Octanal<N->,Octanal,124-13-0,441,Medium-chain aldehydes,3.03,2.1,25°C,"fat, soap, lemon, green, aldehydic, waxy, citrus, orange peel, fatty","citrus, green, fatty"
Hexenyl acetate<3Z->,(3Z)-3-Hexen-1-yl acetate,3681-71-8,4515742,Acetate salts,2.41,1.2,25°C,"green, banana, fresh, sweet, fruity, apple, grassy","green, fruity, balsamic"
Phellandrene<alpha->,.alpha.-Phellandrene,99-83-2,7180,NA,4.43,1.9,25°C,"turpentine, mint, spice, citrus, herbal, terpene, green, woody, peppery, terpene, medicinal","citrus, green, woody, medicinal"
Phellandrene<alpha->,.alpha.-Phellandrene,99-83-2,7180,NA,4.43,1.9,25°C,"turpentine, mint, spice, citrus, herbal, terpene, green, woody, peppery, terpene, medicinal","citrus, green, woody, medicinal"
Linalool oxide<dehydroxy-cis->,"(2S,5R)-5-Isopropenyl-2-methyl-2-vinyltetrahydrofuran",54750-69-5,4934589,NA,2.77,1.6,25°C,NA,NA
Carene<delta-3->,carene,13466-78-9,24263,NA,4.37,1.9,25°C,"lemon, resin, sweet, citrus","citrus, balsamic"
32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heptadienal<2E,4E->","2,4-Heptadienal",4313-03-5,19131,NA,1.59,1.0,25°C,"nut, fat, fatty, green, oily, aldehydic, vegetable, cake, cinnamon","fatty, green, vegetable, balsamic"
6-Azabicyclo[3.2.1]octane,6-Azabicyclo[3.2.1]octane,279-85-6,478044,NA,1.35,1.5,25°C,NA,NA
Terpinene<alpha->,alpha-Terpinene,99-86-5,7182,Cyclic olefins,4.53,1.6,25°C,"lemon, camphoraceous, woody, terpene, herbal, medicinal, citrus","citrus, camphoraceous, woody, medicinal"
"Trimethyl benzene<1,2,4->","1,2,4-Trimethylbenzene",95-63-6,6977,NA,3.6,1.9,25°C,plastic,chemical
133,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymene<para->,o-Cymene,527-84-4,10253,Cumenes,4.02,1.4,25°C,NA,NA
Sylvestrene,"Bicyclo(2.2.1)heptane-2,3-diol",1461-27-4,77326,NA,0.01,0.0,25°C,NA,NA
Limonene,(.+-.)-Limonene,138-86-3,20939,NA,4.45,1.5,25°C,"lemon, orange",citrus
"1-Hexanol, 2-ethyl-",2-Ethylhexanol,104-76-7,7434,NA,2.82,0.2,25°C,"rose, green, citrus, fresh, floral, oily, sweet","floral, green, citrus, fatty, balsamic"
"3,5-Heptadien-2-ol, 2,6-dimethyl-","2,6-Dimethyl-3,5-heptadien-2-ol",77411-76-8,57569629,NA,2.49,0.1,25°C,NA,NA
Indane,Indane,496-11-7,9903,NA,3.34,1.5,25°C,NA,NA
new 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclohexanone, 2,2,6-trimethyl-","2,2,6-TRIMETHYLCYCLOHEXANONE",2408-37-9,16105,NA,2.29,1.0,25°C,"pungent, thujone, labdanum, honey, cistus",balsamic
Benzyl alcohol,benzyl alcohol,100-51-6,13860335,Benzyl alcohols,1.03,0.2,25°C,"sweet, flower, berry, cherry, grapefruit, walnut, floral, rose, phenolic, balsamic","balsamic, fruity, nutty, floral"
78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2(5H)-Furanone, 5-ethyl-",5-Ethyl-2(5H)-furanone,2407-43-4,16103,NA,0.19,0.1,25°C,spice,NA
Ocimene<(Z)-beta->,"3,7-Dimethyl-1,3,6-octatriene",3338-55-4,17711,NA,4.7,1.6,25°C,"citrus, herb, flower, warm, floral, sweet","citrus, floral, balsamic"
77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lavender Lactone,5-Methyl-5-vinyldihydro-2(3H)-furanone,1073-11-6,92625,NA,0.51,0.2,25°C,"fruity, minty","fruity, minty"
Benzene acetaldehyde,Phenylacetaldehyde,122-78-1,13876539,Phenylacetaldehydes,1.78,0.4,25°C,"hawthorne, honey, sweet, hyacinth, grapefruit, peanut, green, floral, clover, cocoa, bitter","floral, balsamic, fruity, nutty, green"
Bergamal,Melonal,106-72-9,54976,NA,3.0,0.6,25°C,"fruit, green, melon, cucumber, vegetable, herbaceous, fatty, spicy, floral, lemon, citrus, woody, meaty, wine_like, earthy, cantaloupe, grapefruit, fruity, peach, watermelon, nutty, fresh air, ozone, sweet, clean","green, citrus, vegetable, herbaceous, fatty, spicy, floral, woody, meaty, wine_like, earthy, fruity, nutty, balsamic"
Ocimene<(E)-beta->,trans-beta-Ocimene,3779-61-1,4444881,Acyclic monoterpenoids,4.7,1.6,25°C,"sweet, herb, herbal",balsamic
"1H-Pyrrole-2-carboxaldehyde, 1-ethyl-",1-Ethyl-1H-pyrrole-2-carbaldehyde,2167-14-8,503564,NA,0.79,0.2,25°C,"burnt, roasted",NA
new 9,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hexalactone<gamma->,.gamma.-Caprolactone,695-06-7,12232,Gamma butyrolactones,0.26,0.2,25°C,"coumarin, sweet, herbal, coconut, tobacco","spicy, balsamic, fruity, tobacco"
121,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terpinene<gamma->,.gamma.-Terpinene,99-85-4,7181,Cyclic olefins,4.36,1.1,25°C,"gasoline, turpentine, lime, oily, woody, terpene, lemon, tropical, herbal, bitter","citrus, fatty, woody"
new 11,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetylpyrrole<2->,2-Acetyl-1H-pyrrole,1072-83-9,13459,NA,0.88,0.1,25°C,"nut, walnut, bread, musty, nutty, coumarin, licorice","nutty, earthy, spicy"
"Benzene, 4-ethyl-1,2-dimethyl-",2-Methyl-p-ethyltoluene,934-80-5,13040,NA,4.13,0.8,25°C,NA,NA
Acetophenone,Acetophenone,98-86-2,7132,Acetophenones,1.66,0.3,25°C,"must, flower, almond, hawthorne, sweet, pungent, hawthorn, mimosa, acacia, chemical, bitter","nutty, floral, balsamic"
Octanol<N->,Cerotin,111-87-5,61478,Fatty alcohols,12.56,0.0,25°C,"chemical, metal, burnt, waxy, green, orange, aldehydic, rose, mushroom","green, citrus, floral, earthy"
new 10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Octen-1-ol, (E)-",cis-2-Octen-1-ol,26001-58-1,4517064,NA,2.82,0.1,25°C,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linalool oxide <cis-> (furanoid),b-Linalyl oxide,5989-33-3,4933975,NA,1.56,0.0,25°C,"flower, earthy, floral, sweet, woody","earthy, floral, balsamic, woody"
Heptanoic acid,Isoenanthic acid,628-46-6,11839,Medium-chain fatty acids,2.19,0.1,25°C,"fatty, cheese, oily, fruity","fatty, fruity"
Cresol<meta->,m-Cresol,108-39-4,21105871,Nitrotoluenes,1.94,0.2,25°C,"fecal, plastic, medicinal, medical, woody, leather, phenolic","chemical, medicinal, woody"
Cymenene<para->,2-p-Tolyl-1-propene,1195-32-0,56173,Phenylpropenes,3.71,0.8,25°C,"gasoline, citrus, pine, phenolic, spicy, styrene, clove, guaiacol","citrus, spicy, herbaceous"
Linalool oxide<trans-> (furanoid),Linalool Oxide,34995-77-2,20938,NA,1.56,0.0,25°C,"flower, floral",floral
Terpinolene,TERPINOLENE,586-62-9,10979,Menthane monoterpenoids,4.67,1.1,25°C,"pine, plastic, fresh, woody, sweet, citrus","chemical, woody, balsamic, citrus"
"Benzenemethanol, alpha,alpha-dimethyl-",.alpha.-Cumyl alcohol,617-94-7,11556,NA,1.73,0.2,25°C,NA,NA
Undecane<N->,Undecane,1120-21-4,13619,NA,6.6,0.6,25°C,alkane,NA
Linalool,Linalool,78-70-6,13849981,NA,3.28,0.1,25°C,"flower, lavender, lemon, orange, citrus, floral, sweet, bois de rose, woody, green, blueberry","floral, citrus, balsamic, woody, green"
Nonanal<N->,Nonanal,124-19-6,29029,NA,3.56,0.5,25°C,"fat, citrus, green, lime, grapefruit, fishy, waxy, aldehydic, rose, fresh, orris, orange peel, fatty, peely","citrus, green, fruity, fishy, floral, fatty"
