IA_Name,Common_Name,CAS,CSID,Compound_Class,Log_P,Vapor_Pressure,Vapor_Pressure_At,FooDB_Odors,FooDB_Odor_Family
"3-Cyclohexene-1-acetaldehyde, alpha,4-dimethyl-",2-(4-Methyl-3-cyclohexen-1-yl)propanal,29548-14-9,453972,NA,2.99,0.1,25°C,"spicy, herbal",spicy
112,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclocitral<beta->,b-Cyclocitral,432-25-7,9511,Hydrocarbon derivatives,3.26,0.2,25°C,"mint, minty, tropical, saffron, herbal, clean, rose oxide, sweet, tobacco, damascone, fruity","minty, balsamic, tobacco, fruity"
"Benzofuran, 2,3-dihydro-","4,4'-Diaminobenzophenone",496-16-2,62364,NA,1.66,0.0,25°C,NA,NA
"Hexanedioic acid, dimethyl ester",Methyl adipate,627-93-0,11824,Fatty acid methyl esters,1.03,0.1,25°C,"mild, nutty",nutty
Benzothiazole,"1,3-Benzothiazole",95-16-9,6952,Benzothiazoles,2.01,0.1,25°C,"gasoline, rubber, sulfury, rubbery, vegetable, cooked, nutty, coffee, meat","vegetable, nutty"
Nerol,Nerol,106-25-2,558917,NA,3.28,0.0,25°C,"sweet, natural, neroli, citrus, magnolia, bitter","balsamic, citrus"
"Bicyclo[2.2.1]hept-2-ene, 1,7,7-trimethyl-","(1R,4S)-1,7,7-Trimethylbicyclo[2.2.1]hept-2-ene",464-17-5,16736221,NA,4.26,5.7,25°C,NA,NA
"Benzene, 1,3-bis(1,1-dimethylethyl)-","1,3-Di-tert-butylbenzene",1014-60-4,120562,NA,5.59,0.1,25°C,NA,NA
43 (N55),(1R)-(-)-Nopol,35836-73-8,1068002,NA,3.09,0.0,25°C,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carvone,DL-carvone,99-49-0,21106424,NA,2.27,0.1,25°C,"mint, basil, fennel, minty, licorice","herbaceous, minty"
82,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linalool acetate,(.+/-.)-Linalyl acetate,115-95-7,13850082,Acyclic monoterpenoids,3.83,0.1,25°C,"sweet, fruit, green, citrus, bergamot, lavender, woody","balsamic, green, citrus, floral, woody"
Geraniol,Geraniol,106-24-1,13849989,Acyclic monoterpenoids,3.28,0.0,25°C,"rose, geranium, sweet, floral, fruity, waxy, citrus","floral, balsamic, fruity, citrus"
