Compound,Plant Only,Plant + GLV blend,Difference,p-Value
2E-Hexenal,0.12333333333333334,0.16999999999999998,0.046666666666666655,0.4008553104847219
3Z-Hexenol,0.36333333333333334,0.23666666666666666,-0.12666666666666668,0.5875894643184935
3Z-Hexenyl Acetate,2.3233333333333333,1.6733333333333333,-0.65,0.5960602613381164
Ethyl Valerate,0.013333333333333334,0.07666666666666666,0.06333333333333332,0.04157678261989524
Hexanal,4.29,3.9133333333333336,-0.3766666666666665,0.5939636372415094
Hexanol,1.67,1.56,-0.11000000000000003,0.6681866624262811
