Compound,Plant Only,Plant + GLV blend,Difference,p-Value
2E-Hexenal,0.46,0.20333333333333337,-0.25666666666666665,0.45909945237783134
3Z-Hexenol,0,0,0,NA
3Z-Hexenyl Acetate,0.10666666666666666,0.09,-0.016666666666666663,0.6621313108002571
Ethyl Valerate,0.006666666666666654,0.010000000000000009,0.003333333333333355,0.8075499102701235
Hexanal,1.4749999999999999,1.3500000000000003,-0.12499999999999971,0.8637549915282936
Hexanol,1.9533333333333334,1.9166666666666667,-0.036666666666666625,0.9856456913024707
