Family,Compound,unspray1,unspray2,unspray3,control2,control3,control4,control5,meja1,meja2,meja3,meja4,geom1,geom3,geom5
Acid,Butanoic acid,39491.6,47316.7,27599.5,,39268.2,20048.2,43755.2,40651.1,37678.3,48771.1,43072.7,,39438.8,37935.4
Acid,Isovaleric acid,23235.3,18972.6,,,23828.1,,,25573.6,29098.5,27205.3,36060.5,,69038.6,8903.1
Acid,Pentanoic acid,54972.6,6665.2,56084.9,9364.8,89363.2,14421.9,174210.7,101295.4,114551.8,25881.2,87768.5,22878.9,50604.7,62298.2
Acid,Hexanoic acid,120045.1,141838.6,184306.6,9191.1,81250.8,30594.9,208652.5,115484.2,92804.9,131078.9,181940.2,62405.9,30763.3,69918
Acid,Heptanoic acid,38553.2,14491.8,34013.8,2483.5,29965.4,20687,21065.1,22983.9,37115.6,21426.2,23341.6,84233.5,26677.2,7947.3
Acid,Ethyl hexanoic acid<2->,25424.9,14251.6,33907.5,,14469.9,,12098.4,25521.7,29638.9,34376.4,16281.5,13160.5,17870.3,6248.2
Acid,Octanoic acid,47172,69866.5,97822.1,8012.3,147450.3,48486.3,125497.6,128939.4,200317.6,42415.4,97905.5,66872.6,57911.3,19303.1
Acid,Nonanoic acid,32624.6,48547.5,74696.7,12046.6,81572.8,50809.1,91355.2,78045.6,85804.9,28346.8,62199.9,26451.7,45317.9,14796.1
Acid,Decanoic acid,14943.2,15938,28113.4,,30857,22741.5,50553.8,25663.4,32369.8,10804.6,22041.8,11908.7,20022.7,3657.2
Acid,Dodecanoic acid,254774.8,880489.8,562949.8,,,,,1045949.1,901777.3,314890.9,540107.5,540319.4,715349.3,20008.6
Aliphatic_Alcohol,"2-Buten-1-ol, 2-methyl-",,,,,,,,,,,,,6990,3401.1
Aliphatic_Alcohol,Hexenol<3Z->,,2446.6,5892.5,,9284.8,9090.1,22610.3,,,,22324.7,,,
Aliphatic_Alcohol,Hexenol<2Z->,,,,,,,,,,,,,,6333.7
Aliphatic_Alcohol,Hexanol<N->,4735.9,5317.2,4897,4456.2,4511.9,4771.8,5368.4,4950.3,7000.7,5586.6,4485.2,1553.8,5904.6,5410
Aliphatic_Alcohol,Heptan-2-ol<6-methyl->,3282,3678.9,3427,4419.2,4208.2,3349.7,4097.6,3972.4,3164,3549.1,3236.7,,2754.3,3175.2
Aliphatic_Alcohol,Octen-3-ol<1->,19675.3,16943.9,14344.8,4854.6,,3646.5,,20022.6,20264.8,28361.2,14440.8,,17002.9,19450.9
Aliphatic_Alcohol,"1-Hexanol, 2-ethyl-",5477775.8,2151479.9,2588829.4,198408.4,128285.5,123077.3,95935.1,1840608.8,2363978.8,6261332.2,1348758.3,161075.3,1633137.7,1622233.1
Aliphatic_Alcohol,Dodecanol<N->,28832.7,47680.7,43266.2,43002.1,41099,49397.6,79277,43352.2,49869.7,38546.3,55543.8,31461.9,44230,24312.4
Aliphatic_Alcohol,Fokienol,34238.9,27558.2,38510.3,43153.9,39390.8,45297.9,48789.8,24297.6,32815.9,32344.6,35339.4,31685.1,28927.3,38854.5
Aliphatic_Alcohol,Hexadecanol<N->,155080.9,380436.5,274550.4,37034,59379.4,41960.5,53319.6,431270.4,384634.8,345837.8,358047.8,309821.6,342583.3,67463.7
Aliphatic_Alcohol,Octadecanol<N->,12891.5,12119.8,13146.3,13603.5,9995.3,11221,8477.9,14510.1,13111.2,15005.4,13265.9,15464.3,13438,11316
Aliphatic_Aldehyde,"2-Pentenal, (E)-",1035.5,1069.4,1226.2,1026.7,1786.9,1459.2,1321.7,1997.5,1413.8,1252.8,1265.6,2549.2,6658.5,15295.1
Aliphatic_Aldehyde,Tiglic aldehyde,52797.9,63311.8,65163.8,68608.1,78934.2,62185.3,62087,63866.7,82522.9,67259.3,72281.4,,57125.1,66260.2
Aliphatic_Aldehyde,"2-Butenal, 3-methyl-",52404.6,63311.8,65924,65876.2,77250.8,59985.5,61823.4,63866.7,82768.4,65710.1,72281.4,,55768.6,65545.5
Aliphatic_Aldehyde,Hexanal,19426.4,24771.5,18676.3,14117.3,13586.4,15973.7,26819.5,26933,32455.4,26892.5,26129,25715.9,33852.6,19656.6
Aliphatic_Aldehyde,Hexenal<2E->,,,,,,,,2963.7,3222,3794,3150.6,,2576.3,2145.3
Aliphatic_Aldehyde,Heptanal,18497,23745,18033.6,19277.6,16990.8,23038.3,29747.3,22607.3,26491.8,24078.1,20356.2,2711.7,26699.1,14907
Aliphatic_Aldehyde,Octanal<N->,17214.7,15939.6,13806,20102.7,21599,22472,32675.3,24041,25521.9,18827.7,15232.9,,21450.3,15954.2
Aliphatic_Aldehyde,Nonanal<N->,45245,55303.5,37291.7,122833.1,73380.7,99283.3,170593.1,68797.4,77973.7,65984.1,57851.1,2155.9,64038.2,49280.4
Aliphatic_Aldehyde,Decanal<N->,17276.6,17470.5,16590.2,40854.3,39705.6,54814.9,97392.8,31826.8,22468.8,19355.9,23645.5,2704.5,24012.6,19129.9
Aliphatic_Ester,Hexenyl acetate<3Z->,3490.8,4578.5,3540.8,5874.8,5159.1,6436.5,11449.4,4000.9,4799.7,3783.6,4481.3,,4773.8,2930.9
Aliphatic_Ester,Ethyl hexyl acetate<2->,,11678.9,,10667.9,8073.8,8781.3,9027.3,,,,,,13045.7,7529
Aliphatic_Ester,Hexenyl hexenoate<3Z->,5450.9,2354.3,20045.1,4615,4158.6,4570.5,9398.7,4328,4286,5088.8,5235.8,1209.6,3562.2,3135
Aliphatic_Ester,Dimethyl phthalate,140165.3,111880.4,110399.7,340963,241908.5,211731.9,166630.6,147013,162906.8,112990.6,136962,129872.5,99522.8,144064.7
Aliphatic_Ester,Hexenyl benzoate<2E->,16277.3,15287.6,16239.3,10892.9,,,,15015.1,13816.4,14416.8,20593.8,19209,18785.3,11562.1
Aliphatic_Ester,Diethyl phthalate,158016.5,145559.4,172232.9,88785.4,52582.8,58405.4,50064.7,131273.2,120340.9,135692.6,189419.2,175961.6,183026.5,94915
Aliphatic_Ester,Methyl jasmonate<Z->,162174.8,154304.2,184022.5,72310,62808.2,69634.7,67605.8,72841,88200.3,121085.2,174867.1,20047.9,110068.3,71407.2
Aliphatic_Ester,Isopropyl tetradecanoate,1685,4494.8,3285.9,1322.1,1788,2687.6,2981.6,4374.1,3582.3,3177.7,3497.3,2123.1,2631.9,1388.2
Aliphatic_Ester,Methyl hexadecanoate,3963,15462,11652.4,10759.1,24494.8,25353.5,30351.9,22634,31896,9516.8,18607,22548.7,15850.5,5499.2
Aliphatic_Ester,Isopropyl hexadecanoate,5572.1,14536.7,18143,6799.8,12863.4,11907,16538.6,46197.8,33635.3,39984.6,12746.7,25540,26953.2,23795.4
Aliphatic_Ketone,"3-Penten-2-one, 4-methyl-",16614.6,15055.5,18283.5,35228.7,20037.6,17945.8,19577.9,16364.2,19960.7,19104.5,21350.3,,27269.6,13175.3
Aliphatic_Ketone,3-Heptanone,6146.2,5296.4,6295.4,8872.4,6651.5,8079.3,5090.1,5407.6,7104.5,6644.3,4910,,6792.2,5071.3
Aliphatic_Ketone,Heptanone<2->,11295.3,7839.9,7282.6,,,,,5853.7,6817.6,6780.1,4484.5,,14524.3,2731.2
Aliphatic_Ketone,Cyclohexanone,4419.9,4260.9,5231.8,8752.8,9645.4,7600.3,8227.8,5146.4,5201.5,4461.9,5213.5,,5214.6,5704.6
Aliphatic_Ketone,Octen-3-one<1->,3732.2,3945.5,4256.1,5044.7,4009.7,4142.9,4830.8,5917.9,3726.7,4874.3,3714.1,8038.9,4920,3428.7
Aliphatic_Ketone,"2,3-Octandione",4325.3,3748.5,2571.1,7199.5,8462.1,,,4474.8,4671.5,6705,3231.6,,5303.4,2420.1
Aliphatic_Ketone,Hepten-2-one<6-methyl-5->,20058.4,15147.2,36721,8409.3,8857.5,11450.5,18384.8,21325.1,13048.2,15715.7,23986.7,,8028.7,18344.8
Aliphatic_Ketone,Isophorone,16526.5,13943.6,26310.7,35893.8,34304.7,41374.2,39871.3,18851.4,16789.8,19239.4,18652.2,,14674.9,19244.4
Aliphatic_Ketone,Isophorone<4-keto->,2032.6,1218.7,2023.2,2419.8,3974.3,4789.3,4761.4,2396.3,2120.6,2609.8,2279.5,,2103.4,2526.8
Hydrocarbon,Benzene,12485.5,12876.2,22016.4,23227.6,16373.2,,16275.4,16025.1,21105.4,19580.7,21981.9,65935.7,51056.4,
Hydrocarbon,Toluene,55033.5,44940.2,47417.3,91450,61221.7,81647,116003.7,35388.6,36614.9,39675,37923.7,44749.8,68605.4,42980.9
Hydrocarbon,"Heptane, 3-methylene-",23859.9,30825.9,23818,,,,,22378.8,29819.1,29668.8,22508.5,36055.8,30688.6,10139.1
Hydrocarbon,"3-Octene, (Z)-",,,,,,,,119487,27334.9,23238.1,23409.5,17137.6,,
Hydrocarbon,"2-Hexene, 3,5-dimethyl",,,,,,,,6170.6,9041.1,8286.9,6873,10013,8145.6,2938.6
Hydrocarbon,Ethylbenzene,10999.9,9880,12019,15869.3,14392.7,14111.7,42258.8,11845.3,12831.7,11745.4,11311.4,,10722.7,10528
Hydrocarbon,m-xylene,14504.5,13080.8,15118.3,22433,18769.3,18618.9,23084.5,13404.8,15894.1,15566.4,13349.5,,13920.8,14525.8
Hydrocarbon,p-xylene,15198.3,13722.2,18107,22844.8,19089.5,20336.4,28122.5,16300.9,17034.9,16123.4,16174.1,,14194.6,15986.3
Hydrocarbon,o-Xylene,6209,5921.3,6556.7,8614.3,8387.6,8438.8,10855.4,6558.7,7170.8,6550.4,6711.6,,6634.8,6466.1
Hydrocarbon,Styrene,22392.7,15884.8,15091.8,32345,22998,26268,24417,18622.2,20613,21258.2,23513.9,1027.1,24781.9,23011.3
Hydrocarbon,"1,5-Heptadiene, 2,6-dimethyl",3320.2,6313.9,3667.9,7373.5,6901,6265.1,8629.3,6435.4,4604.1,6001.5,5204.4,,6417.8,4430.3
Hydrocarbon,"Benzene, 1-ethyl-4-methyl-",7538.3,6593.7,8007.4,12547.5,10496.3,12057.8,12655.3,6907.2,7308.3,7264.3,7869.1,,2484.9,7222.6
Hydrocarbon,"Benzene, 1-ethyl-3-methyl-",2300.9,2088.4,2320.5,3525.9,3254.6,3388.4,4305.9,2319.5,2168.3,2177.9,2261.2,,2080.8,2498.9
Hydrocarbon,"Benzene, 1-ethyl-2-methyl-",4902.8,4156.5,5316,8141.1,7848.7,8284,8168.2,3541.3,4255.2,3729.4,5187.9,,3417.8,4685.2
Hydrocarbon,Mesitylene,9076.5,10496.6,10470.2,12854.3,11568.1,12694,10960.5,8640.6,9363.4,9846,8704.1,6037.6,17496.4,10157.1
Hydrocarbon,"Trimethyl benzene<1,2,4->",2212.6,2154.9,1901.6,3225.6,3259.7,3378.5,3162.1,2310.4,1862.1,1935,2341.1,,1653.9,1686.1
Hydrocarbon,Cymene<para->,2158.5,2018,4221.9,6739.5,8938.5,7878.1,8601,2597,4562.3,9586.9,6413,,44642.5,26732.1
Hydrocarbon,Indane,2149.6,2162.7,2060.2,2141.7,2183.1,2079.6,2818.8,2072.8,2260.9,2118.2,1832.8,,1653.5,1632
Hydrocarbon,Cymenene<para->,,,,,,,,,,,,,1606,1118.5
Hydrocarbon,Undecane<N->,49340.5,43497.3,47277.1,19611.4,25849.8,44402.5,22811.5,45385.5,41460.5,39819.2,38637.4,37621,39047.4,18959.6
Hydrocarbon,Naphthalene,58683.7,55840.3,56606,81552.3,85179.8,84639.5,78226.3,66515,58118.1,62846.3,58853.7,15102,55676.8,61543.8
Hydrocarbon,Dodecane,38938,15384.7,36404.3,23958.3,42834.3,91327.9,38109.1,37677.3,24677.4,33984.4,31433.8,7386.3,18201,11812.7
Hydrocarbon,1-Methylnaphthalene,25712,25117.4,26105.1,36956.1,41103.4,40393.2,40009.9,27451.1,23665.2,29453.9,29046,16359.3,25142.5,27304.6
Hydrocarbon,Tridecane,190199.5,45609.5,202554.7,7385.2,5339,7140,5406,60807.7,70654.9,52393.5,70788.5,3697.1,5666.2,5503.3
Hydrocarbon,"Naphthalene, 2-methyl-",9904.4,10957.9,10379.4,15918.5,16163.5,15684,20172.7,10831.3,8752.5,11850.4,11810.9,11381.7,9619.7,12788.3
Hydrocarbon,Biphenyl,34401.2,30791.4,33431.3,55458.8,60251.3,59989,58180.8,36161.1,34231.7,38265.9,37771.9,29473.2,30065.5,35790.5
Hydrocarbon,"1,4-Dimethylnaphthalene",12591.6,11919.5,13044.8,19918.4,22365.7,23515.2,24469.6,12713.3,12459,15415.3,14832.5,10402.2,11949.9,14915.1
Hydrocarbon,Tetradecane (C14),39264.5,45978.6,49094.9,40661.4,119576.8,131596.9,142358.8,60466.1,55088.3,53079.8,63975.8,,48302.6,21396
Hydrocarbon,"Naphthalene, 1,3-dimethyl",15744.8,13530.2,14111.7,25150,25041.7,26906.9,27272,14742,14506.3,16922.6,17371.8,13433.7,15174.9,17838.9
Hydrocarbon,Methyl biphenyl<4->,11626,10466.3,11174,17357.9,18939.3,20916.8,21688.8,11099.2,11869.5,12888.2,13037.3,10217.3,9741.9,13546.5
Hydrocarbon,Pentadecane,93386.7,212156.5,143965.5,74999.8,283560.3,249610.3,291720.5,141067.3,131902.4,132259.7,239798.5,,189706.9,30981.8
Hydrocarbon,Fluorene,,,,52364,60249.6,66300.2,71401.9,,17565.3,,17774.1,21388.6,,48049.7
Hydrocarbon,Hexadecane (C16),246339.2,906321.1,631550.7,131944.2,239372.7,194200.1,265831.6,314642.5,275558.5,523289.7,823531.3,,805627.3,
Hydrocarbon,Heptadecane (C17),519287.2,465420.9,555988.5,104007.6,153478.5,161468,164873.5,204941.1,302365.1,557261.6,417479.8,19799.6,326286.5,199269.2
Hydrocarbon,Octadecane (C18),206247.9,182883.1,203629,59261.6,88665.3,86568.1,103305.1,124337.4,169215,231030.7,157959.2,51090.3,151036.3,140262.9
Hydrocarbon,Nonadecane (C19),100002.5,131559.9,111360.9,47791.8,85624.1,71436,90244.3,110993.3,141309.9,134508.3,120929,,,
Hydrocarbon,Heneicosane,14942.1,25121.4,15883.6,21541.3,26836.1,28573.4,33886.3,41243.2,52629.2,25823.6,30929.8,31528.2,26401.3,21763.9
Hydrocarbon,Docosane,17178.9,43225.7,26851.9,8945.7,8702.3,15062.5,15660,55935.6,65727.5,52731.6,41555.2,49485.4,50597,7810.1
Hydrocarbon,Tricosane,5260.3,8845.2,3356.3,11800.3,17196,18550.7,15271.1,12842.5,16367.2,8775.4,8208.5,19932.5,29910.2,6229.3
Hydrocarbon,Pentacosane,2651.5,9149.1,2160,11163.9,14337,15898.3,15739.1,6808.7,5978,1057.4,4235.1,18094.2,41201,3422.7
Monoterpene_Hyrdrocarbon,Pinene<alpha->,2878.8,2366,3821.8,4619.9,3869.6,6008.2,4067.4,3258.5,2717.7,3035,4376.4,2444.3,4508.6,4771.4
Monoterpene_Hyrdrocarbon,Carene<delta-3->,,,,1180.5,1023.3,1987.3,2524.2,1063.3,1013.6,1045.6,1018.6,,1462.5,1000.9
Monoterpene_Hyrdrocarbon,Limonene,10498.7,2913.5,6699.5,8356.9,11227,116822.1,41297,2894.5,8058.6,74077.8,4855.1,,343533.6,21949
Monoterpene_Hyrdrocarbon,Terpinene<gamma->,,,,,,,,,,4098.3,1147.2,,19236.8,5364.7
N_S_Containing,Pyridine,35339.7,40996.1,35787.1,49999.6,35725,39901.9,44040.6,23652.4,31628.1,35949.6,15006.7,4482.7,39631.8,43290.8
N_S_Containing,"2-Pyrrolidinone, 1-methyl-",56416.2,48812.8,79316.4,114850.8,97125.4,113678.3,129531.4,63406,109671.6,91240.8,80203.3,12664.6,94227.8,86352.7
N_S_Containing,Benzeneacetonitrile,5442.6,4970.8,141806.9,,9514.4,8556.8,21022.6,5676.3,6072.3,9358.3,10049.2,6083.6,7875.4,7025.9
